DATE,APU000074714
1/1/1976,0.605
2/1/1976,0.6
3/1/1976,0.594
4/1/1976,0.592
5/1/1976,0.6
6/1/1976,0.616
7/1/1976,0.623
8/1/1976,0.628
9/1/1976,0.63
10/1/1976,0.629
11/1/1976,0.629
12/1/1976,0.626
1/1/1977,0.627
2/1/1977,0.637
3/1/1977,0.643
4/1/1977,0.651
5/1/1977,0.659
6/1/1977,0.665
7/1/1977,0.667
8/1/1977,0.667
9/1/1977,0.666
10/1/1977,0.665
11/1/1977,0.664
12/1/1977,0.665
1/1/1978,0.648
2/1/1978,0.647
3/1/1978,0.647
4/1/1978,0.649
5/1/1978,0.655
6/1/1978,0.663
7/1/1978,0.674
8/1/1978,0.682
9/1/1978,0.688
10/1/1978,0.69
11/1/1978,0.695
12/1/1978,0.705
1/1/1979,0.716
2/1/1979,0.73
3/1/1979,0.755
4/1/1979,0.802
5/1/1979,0.844
6/1/1979,0.901
7/1/1979,0.949
8/1/1979,0.988
9/1/1979,1.02
10/1/1979,1.028
11/1/1979,1.041
12/1/1979,1.065
1/1/1980,1.131
2/1/1980,1.207
3/1/1980,1.252
4/1/1980,1.264
5/1/1980,1.266
6/1/1980,1.269
7/1/1980,1.271
8/1/1980,1.267
9/1/1980,1.257
10/1/1980,1.25
11/1/1980,1.25
12/1/1980,1.258
1/1/1981,1.298
2/1/1981,1.382
3/1/1981,1.417
4/1/1981,1.412
5/1/1981,1.4
6/1/1981,1.391
7/1/1981,1.382
8/1/1981,1.376
9/1/1981,1.376
10/1/1981,1.371
11/1/1981,1.369
12/1/1981,1.365
1/1/1982,1.358
2/1/1982,1.334
3/1/1982,1.284
4/1/1982,1.225
5/1/1982,1.237
6/1/1982,1.309
7/1/1982,1.331
8/1/1982,1.323
9/1/1982,1.307
10/1/1982,1.295
11/1/1982,1.283
12/1/1982,1.26
1/1/1983,1.23
2/1/1983,1.187
3/1/1983,1.152
4/1/1983,1.215
5/1/1983,1.259
6/1/1983,1.277
7/1/1983,1.288
8/1/1983,1.285
9/1/1983,1.274
10/1/1983,1.255
11/1/1983,1.241
12/1/1983,1.231
1/1/1984,1.216
2/1/1984,1.209
3/1/1984,1.21
4/1/1984,1.227
5/1/1984,1.236
6/1/1984,1.229
7/1/1984,1.212
8/1/1984,1.196
9/1/1984,1.203
10/1/1984,1.209
11/1/1984,1.207
12/1/1984,1.193
1/1/1985,1.148
2/1/1985,1.131
3/1/1985,1.159
4/1/1985,1.205
5/1/1985,1.231
6/1/1985,1.241
7/1/1985,1.242
8/1/1985,1.229
9/1/1985,1.216
10/1/1985,1.204
11/1/1985,1.207
12/1/1985,1.208
1/1/1986,1.194
2/1/1986,1.12
3/1/1986,0.981
4/1/1986,0.888
5/1/1986,0.923
6/1/1986,0.955
7/1/1986,0.89
8/1/1986,0.843
9/1/1986,0.86
10/1/1986,0.831
11/1/1986,0.821
12/1/1986,0.823
1/1/1987,0.862
2/1/1987,0.905
3/1/1987,0.912
4/1/1987,0.934
5/1/1987,0.941
6/1/1987,0.958
7/1/1987,0.971
8/1/1987,0.995
9/1/1987,0.99
10/1/1987,0.976
11/1/1987,0.976
12/1/1987,0.961
1/1/1988,0.933
2/1/1988,0.913
3/1/1988,0.904
4/1/1988,0.93
5/1/1988,0.955
6/1/1988,0.955
7/1/1988,0.967
8/1/1988,0.987
9/1/1988,0.974
10/1/1988,0.957
11/1/1988,0.949
12/1/1988,0.93
1/1/1989,0.918
2/1/1989,0.926
3/1/1989,0.94
4/1/1989,1.065
5/1/1989,1.119
6/1/1989,1.114
7/1/1989,1.092
8/1/1989,1.057
9/1/1989,1.029
10/1/1989,1.027
